10_freq,10_peak,note_played
"[62, 184, 122, 245, 2, 7, 367, 231, 369, 73]","[1.0, 0.6020989125793129, 0.19597732232934895, 0.020441524388367428, 0.005884632805128568, 0.005202617156243165, 0.005065206308397306, 0.0039300155496833356, 0.0035291856059880763, 0.003377486719053736]",A#3
"[123, 62, 184, 307, 247, 3, 6, 114, 109, 244]","[1.0, 0.6918167311476651, 0.4662796099788648, 0.03827909827740571, 0.025565145794197365, 0.008636873134595869, 0.005368761022438477, 0.005220336393655855, 0.0051410109320399015, 0.004075695320454773]",A#3
"[61, 123, 93, 184, 245, 307, 368, 2, 265, 102]","[1.0, 0.9422014135629092, 0.3825270551786686, 0.2846087041660681, 0.019224167040990576, 0.015269253286122112, 0.0049402410893173605, 0.003576686522969181, 0.0032121236885179136, 0.003023626957929315]",A#3
"[62, 184, 122, 161, 246, 368, 115, 112, 306, 70]","[1.0, 0.4536760755115298, 0.21691292833743367, 0.03099843234073126, 0.02022348293873392, 0.005464988782484206, 0.0038820465814626637, 0.002334881730930825, 0.0021285472474349473, 0.0021221931531500296]",A#3
"[184, 122, 61, 245, 306, 368, 113, 117, 130, 69]","[1.0, 0.7292248151433004, 0.36368861722532764, 0.04168961342637556, 0.038672453119227346, 0.028126825026307062, 0.018450795195085686, 0.015457356977412125, 0.014042356294740169, 0.00975390287793086]",A#3
"[123, 61, 184, 100, 307, 245, 368, 80, 2, 161]","[1.0, 0.8147208603510869, 0.20409951561643083, 0.16667624085151223, 0.027136581076421487, 0.009238008780517046, 0.004794420057602713, 0.0038127172711658096, 0.0035535652071114086, 0.0017970718507106505]",A#3
"[62, 184, 122, 246, 368, 2, 171, 187, 182, 109]","[1.0, 0.4379876847170632, 0.17737959843058257, 0.022908158446423695, 0.005275641514022588, 0.004525351814775598, 0.003945367827475692, 0.003928837876347438, 0.0023077163092530633, 0.0017227502886345146]",A#3
"[184, 61, 122, 63, 161, 245, 120, 368, 306, 111]","[1.0, 0.5856638429936466, 0.4932208557560634, 0.09305832077953718, 0.07430453819794927, 0.06268944789874757, 0.056114735594149125, 0.025255901414671152, 0.023965410180579152, 0.010473863264828158]",A#3
"[123, 61, 86, 184, 307, 244, 131, 114, 116, 69]","[1.0, 0.6893773939798166, 0.280933315828581, 0.12119907141617299, 0.025416433561185007, 0.009989424225563625, 0.008063586956068512, 0.007776018011746848, 0.00764842366091325, 0.0040934155276366405]",A#3
"[123, 62, 183, 245, 221, 100, 77, 306, 180, 107]","[1.0, 0.6223434698030308, 0.09482284383701317, 0.058022170481093524, 0.010639207509346691, 0.003169315802160489, 0.002732165976862605, 0.002645175882507095, 0.0026005119389060447, 0.002068123606926979]",A#3
"[61, 123, 121, 183, 245, 306, 213, 115, 71, 127]","[1.0, 0.1885406283053651, 0.053573057183695996, 0.02387918456960477, 0.02332145192237222, 0.01056226127202716, 0.008422594408314483, 0.006110339339367199, 0.005277618725725481, 0.0036173720308397763]",A#3
"[122, 184, 62, 162, 306, 244, 97, 368, 79, 72]","[1.0, 0.32958186065370687, 0.147424894724527, 0.0609526924361306, 0.022865344061253602, 0.005801705233298351, 0.0030474841676590312, 0.0023542944776453675, 0.0019736776086761265, 0.0018718141202832374]",A#3
"[122, 184, 61, 164, 245, 306, 69, 149, 96, 180]","[1.0, 0.7342685603724405, 0.5790746159829807, 0.07967993365751051, 0.03579304737309859, 0.017383558473552017, 0.007217169985630922, 0.0038994576130983614, 0.00356185958019181, 0.0028428412609089204]",A#3
"[123, 61, 92, 306, 183, 244, 114, 68, 367, 70]","[1.0, 0.7064762782472365, 0.193451753259585, 0.16364157213281696, 0.08283035657716022, 0.02886519410334491, 0.016329624632116287, 0.01141716159648222, 0.008737064603107976, 0.007829061366897264]",A#3
"[123, 62, 306, 183, 368, 131, 154, 245, 91, 4]","[1.0, 0.6143144851730334, 0.11183780259048998, 0.06182215159962014, 0.004335442355807784, 0.0030174379194547398, 0.002309503471079606, 0.0017720749406040662, 0.001515519886613216, 0.0013232947846395441]",A#3
"[61, 183, 245, 123, 114, 306, 214, 90, 367, 69]","[1.0, 0.2569859426348343, 0.041888607682835796, 0.01506875962307772, 0.011730945032479219, 0.009204231898536678, 0.004078695080276842, 0.0038577782636848865, 0.0036785521771459805, 0.0031493583058249336]",A#3
"[122, 184, 62, 167, 306, 246, 366, 182, 186, 244]","[1.0, 0.6052003739602562, 0.31680682360660817, 0.029780831723909218, 0.01996530851589594, 0.005864124330423488, 0.004470004323080189, 0.003921110829646776, 0.0038711037936230183, 0.002667898946131497]",A#3
"[123, 62, 184, 120, 307, 65, 186, 246, 181, 131]","[1.0, 0.37508976640419905, 0.31965287890576866, 0.02165602570764908, 0.018552550834467378, 0.012276464933375981, 0.010882835412291207, 0.010400747019852915, 0.008402479415661324, 0.007360796377163081]",A#3
"[61, 123, 93, 184, 245, 307, 113, 257, 80, 154]","[1.0, 0.7277892094331927, 0.2769895930989002, 0.18387579028969106, 0.01905769375903777, 0.007023437051530774, 0.002718626635935285, 0.002694655779160062, 0.0023532427995799693, 0.0019319709602735773]",A#3
"[122, 184, 62, 154, 369, 72, 305, 111, 131, 80]","[1.0, 0.25798388508994646, 0.1993974433828702, 0.038224373009983034, 0.01066128234789409, 0.00333560568316988, 0.0021462531051387648, 0.0016514275176419155, 0.0016060443465659186, 0.0014596159898688128]",A#3
"[122, 61, 184, 181, 367, 245, 306, 107, 242, 69]","[1.0, 0.8306241090880726, 0.593007985916117, 0.020355535369402513, 0.01712632820921725, 0.00656499636885855, 0.005813197600694556, 0.004365667436553267, 0.003715645433757303, 0.003423654760334633]",A#3
"[183, 122, 245, 60, 226, 550, 64, 69, 73, 135]","[1.0, 0.7361549136092358, 0.4279663671144092, 0.053648243917783715, 0.04856761117872346, 0.021093002249185738, 0.02038413484372706, 0.019072861921812886, 0.013188158857376588, 0.01110805230306033]",A#3
"[123, 62, 184, 305, 244, 130, 367, 75, 3, 105]","[1.0, 0.5874970100243129, 0.08364295889878874, 0.016926313963877393, 0.014482097636959167, 0.00841808025268471, 0.008346058116883846, 0.005963485288820013, 0.005644701450260555, 0.0045324552620949156]",A#3
"[123, 61, 184, 86, 305, 244, 367, 96, 143, 107]","[1.0, 0.5393449679337459, 0.11911961591142627, 0.06346804355852972, 0.012378180513717437, 0.011941739569537447, 0.004177492378651242, 0.002928782098528708, 0.002893471492711706, 0.002151943820469739]",A#3
"[123, 62, 183, 245, 206, 115, 489, 82, 102, 144]","[1.0, 0.7616163401013233, 0.0758162985728256, 0.06476670490571815, 0.007752988116132706, 0.005347436105027113, 0.0037385335374508838, 0.0036392787597754953, 0.003207860582859832, 0.0030998378677209787]",A#3
"[61, 245, 102, 125, 197, 306, 71, 132, 367, 183]","[1.0, 0.28948549212434405, 0.18672799572542267, 0.040807975698969046, 0.021706818125498597, 0.009333136337662628, 0.006123432171002066, 0.005302738312758771, 0.004906223961740839, 0.004650495937787254]",A#3
"[121, 184, 62, 181, 119, 59, 161, 65, 306, 243]","[1.0, 0.4666418884427235, 0.08945532475382893, 0.07639461458729475, 0.05538783231138122, 0.03154285075971587, 0.020871262909640132, 0.017004061337185693, 0.016346229978300403, 0.008106974120625218]",A#3
"[62, 184, 121, 60, 179, 58, 306, 4, 234, 73]","[1.0, 0.3502018663526042, 0.2936177067043847, 0.06146124277377114, 0.053055481498126104, 0.018716730824476068, 0.015513482758575437, 0.007956726326052663, 0.004293259884800276, 0.002987431137775033]",A#3
"[61, 183, 121, 3, 1, 304, 65, 242, 7, 23]","[1.0, 0.2627996932338936, 0.20087478542408338, 0.015321917811624201, 0.014535142789291288, 0.013600108564926624, 0.005267575593347364, 0.0038646475646147106, 0.0033426001338220383, 0.002537821278163622]",A#3
"[121, 181, 59, 244, 1, 5, 7, 12, 305, 2155]","[1.0, 0.12112709717288313, 0.11803637463461326, 0.06090962219039605, 0.026795874188251204, 0.01947685488970399, 0.013414539245028851, 0.010604282551378299, 0.006998162368138522, 0.004777083750401368]",A#3
"[240, 359, 364, 181, 300, 121, 424, 1137, 542, 606]","[1.0, 0.8381760381160509, 0.6859054808014733, 0.6572462855966915, 0.63826130512584, 0.6376983078220011, 0.5571576235757928, 0.521090788342472, 0.4564272913974597, 0.44280114009696153]",A#3
"[837, 301, 361, 298, 657, 1254, 538, 478, 1259, 1194]","[1.0, 0.7622152400979615, 0.5991031312201771, 0.5600168520287045, 0.44043203085165816, 0.4310915444693699, 0.42913839658496944, 0.42485315441554267, 0.3923249829083092, 0.3853119517379425]",A#3
"[299, 419, 239, 1255, 179, 668, 485, 359, 303, 1334]","[1.0, 0.6180802245075222, 0.5909680642333248, 0.5047065596265617, 0.46883447287996716, 0.4664673726327623, 0.4623687529106123, 0.4573448153401896, 0.40907410256180193, 0.38420006025998626]",A#3
"[668, 304, 1274, 242, 486, 1153, 2003, 2003, 607, 971]","[1.0, 0.6609709099504699, 0.5431049241010766, 0.5026746493593206, 0.4870579371302512, 0.4453752510110009, 0.432414888676251, 0.432414888676251, 0.39952798956601016, 0.3890964040304594]",A#3
"[304, 1154, 1215, 122, 486, 183, 668, 1456, 1093, 547]","[1.0, 0.56938223067, 0.5440633039438378, 0.527312545588368, 0.509163242158031, 0.49977395685008197, 0.4801001439857853, 0.4426914684290917, 0.44162241822865567, 0.4041572630105484]",A#3
"[243, 1275, 485, 667, 1457, 971, 121, 303, 789, 1335]","[1.0, 0.6075001873703745, 0.5385631444794718, 0.5341251670107239, 0.4390737157217625, 0.43441012395059564, 0.39467670817113915, 0.37687456538837594, 0.2791654897785789, 0.27890125254371273]",A#3
"[363, 242, 1211, 181, 484, 666, 908, 605, 1332, 1148]","[1.0, 0.6524746712171339, 0.6300361665017746, 0.5333000616492031, 0.48518077385164377, 0.4546409668275633, 0.4417953177343904, 0.4242619329039503, 0.3545488158651346, 0.34546410691366847]",A#3
"[423, 303, 1270, 484, 665, 1209, 1089, 1267, 604, 242]","[1.0, 0.73921890831798, 0.7067020535422599, 0.575293595641265, 0.5551046847197186, 0.5313522200378429, 0.4411934081886309, 0.4242655626315257, 0.41752497381923287, 0.39924996144400093]",A#3
"[241, 362, 965, 1387, 1266, 483, 301, 604, 1204, 1508]","[1.0, 0.914476921700135, 0.7378451070102221, 0.7027774109257423, 0.6048369595881998, 0.5899062625879334, 0.5399724819637972, 0.5173030283583857, 0.47921506788416074, 0.4012106220508455]",A#3
"[362, 1990, 1990, 121, 603, 1326, 1204, 1145, 302, 844]","[1.0, 0.889468093065796, 0.889468093065796, 0.611002553577725, 0.5954334322507872, 0.5359153019428419, 0.5347389477096692, 0.5218697959002068, 0.5196844554674124, 0.5165602383652219]",A#3
"[362, 1267, 965, 302, 422, 1147, 1207, 243, 482, 542]","[1.0, 0.8544306219635175, 0.7175841936593095, 0.6721665688522218, 0.514368334523024, 0.501562777681211, 0.4767447016634605, 0.4599295807610254, 0.4562391312243989, 0.4473702618955981]",A#3
"[604, 241, 362, 1148, 483, 1329, 906, 1027, 1208, 302]","[1.0, 0.7786903530875791, 0.6777270724111926, 0.5654003004700233, 0.5431879966617112, 0.4997773990119831, 0.42048124876475357, 0.41033670508776576, 0.3737480728653076, 0.3734872048997154]",A#3
"[543, 241, 121, 1148, 423, 604, 1209, 1387, 845, 1450]","[1.0, 0.7635129251380476, 0.6753042342440405, 0.5799563425404287, 0.537655470862176, 0.5373756394905845, 0.4974877103074556, 0.4870725378693159, 0.4269383882630862, 0.38335768227136463]",A#3
"[603, 301, 1025, 181, 1447, 964, 1386, 542, 723, 1688]","[1.0, 0.6834964826547422, 0.5764049916765047, 0.5205501554437325, 0.443682774781144, 0.4130583594065798, 0.37639378738394513, 0.3685405568780193, 0.34009837115638686, 0.29780271397537744]",A#3
"[241, 542, 1265, 362, 663, 964, 120, 1204, 1387, 1086]","[1.0, 0.7556275312916793, 0.6682893838673115, 0.6263603377870289, 0.5585987670939977, 0.48044986593754413, 0.44612948216052534, 0.439999808962657, 0.31792668421859765, 0.29784878449114843]",A#3
"[302, 242, 1147, 602, 1208, 1268, 182, 423, 121, 604]","[1.0, 0.5564848816158464, 0.5203226540035425, 0.43292297025230525, 0.4217289722649172, 0.4039468779050506, 0.360826884631165, 0.35925930264882394, 0.35385810952100644, 0.3407840835178651]",A#3
"[604, 1208, 966, 302, 1268, 1570, 846, 1148, 121, 1270]","[1.0, 0.8813593788013017, 0.740416829992493, 0.7233634867172988, 0.6066845958438872, 0.5020543412426212, 0.47636110646534197, 0.4741374959203674, 0.4488800574988667, 0.4453425810626253]",A#3
