rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument_type_predicted,instrument_type_name,instrument_identification,instrument_identification_name
6.705898e-21,5273.149462824768,3314.7413568904167,9431.54296875,0.0,-530.8616094243039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,singing,0,Single Voice Singing
7.0939995e-21,5228.1739319970575,3282.0499936962456,9388.4765625,0.0,-530.8616094243039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,singing,0,Single Voice Singing
7.74439e-21,5285.722340492004,3338.4593238811754,9571.5087890625,0.0,-530.8616094243039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,singing,0,Single Voice Singing
7.957416e-21,5375.455074466621,3275.9696374993205,9506.9091796875,0.0,-530.8616094243039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,singing,0,Single Voice Singing
9.517349e-21,5425.964516791288,3263.840125400545,9453.076171875,0.0,-530.8616094243039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,singing,0,Single Voice Singing
3.479132e-20,5480.582021527965,3228.6998689645934,9410.009765625,0.0,-530.8616094243039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,singing,0,Single Voice Singing
1.8685463e-19,5428.376701087478,3251.6948414455196,9291.5771484375,0.0,-530.8616094243039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,singing,0,Single Voice Singing
0.0035041564,2173.2389852022725,2473.8639590980833,4844.970703125,0.015625,-490.0510694704943,44.62319082403248,24.3687713537229,14.466979566478027,4.265834759615118,-6.725316788465208,-6.187224519074524,-0.757372125626892,-2.3184845892915384,-7.1026431613423995,-9.510577527328785,-9.464220759241277,-8.842420224327242,6,singing,0,Single Voice Singing
0.021632887,2033.2809288705582,2100.4167255288617,4360.4736328125,0.0439453125,-375.2140268859463,76.81554023063396,3.6545060034375174,42.60299393145519,-16.48485345678568,-27.85145632710281,-1.8011572158102374,17.532810502414243,4.382985341717702,-28.477249239380427,-18.96879745471196,-5.236190276973429,-23.789743509947392,6,singing,0,Single Voice Singing
0.035407048,2069.5200089257273,1896.0763021636906,4338.9404296875,0.0615234375,-283.2398845379787,72.06136053731734,-16.301150289731357,63.95883408824382,-36.51298496585238,-32.89455551391977,0.2302596916108317,28.29354167237964,-2.2172352126201553,-39.005539154568034,-32.581719288321935,-0.05444697721177416,-31.591588219691786,6,singing,0,Single Voice Singing
0.04113302,1983.7668672907816,1825.9710719165982,4209.7412109375,0.07470703125,-261.4665914155082,73.74185707856057,-26.569124250271198,67.44493539450973,-38.164528214476064,-29.652647661593804,5.460490162305093,31.75730478560918,-1.3953384071229513,-39.14398347997605,-33.146777607147634,-1.6517314144242892,-34.58807768579476,6,singing,0,Single Voice Singing
0.043110687,1694.0140259501231,1745.3799328570492,3466.845703125,0.08251953125,-288.84602594963974,90.2776430171459,-21.11807573972878,64.5353127691634,-28.161862721855286,-27.297430269407627,15.367143043809648,23.792300273167477,1.5304294445658941,-39.61532128046855,-20.275152581788614,0.8430054195444537,-34.91235376356938,6,singing,0,Single Voice Singing
0.03785127,1423.1063771904956,1669.7335544067769,2831.6162109375,0.09033203125,-338.11498601422124,102.35573481637044,-4.198755315258637,53.83052729339673,-9.537244656071636,-23.380279489455365,14.402535489150946,17.663954232332436,2.0987046500484885,-39.56575881986264,-6.757302035085653,5.526226971038243,-40.19019891330697,6,singing,0,Single Voice Singing
0.025720755,1355.8509847567611,1543.0863826312918,2680.8837890625,0.09521484375,-386.0435929174278,99.39895498383353,16.148694659130605,41.93638920930881,2.2789036476010205,-29.961788034558555,1.813123409491024,29.133371137178322,-0.4480044086601571,-35.906574303898736,1.7998608553620534,-0.6589273843493713,-48.09935993860496,6,singing,0,Single Voice Singing
0.015097704,1541.0818534563914,1817.0616297313213,2702.4169921875,0.1005859375,-436.05610876537474,80.36589892380579,27.158055294806232,41.73218844656555,17.74864317448777,-33.30863557184392,-9.462180041267954,26.420677872415403,-4.434163265224942,-21.948646111717107,3.138621378368125,-9.279488578070211,-36.97729509563348,6,singing,0,Single Voice Singing
0.0070749386,1572.9000043001163,2026.794847098758,2713.18359375,0.09423828125,-464.9513599774572,59.851775322466004,27.075382958858032,36.734619171776075,18.794787835400044,-19.438276496285287,-6.059963012021992,19.247100527970495,1.0824377536752228,-9.852203183947957,5.728446020354683,-4.349391354692444,-27.093552988431135,6,singing,0,Single Voice Singing
0.00457177,1586.1921241276118,2004.7973010312833,2723.9501953125,0.07421875,-476.3424997369517,52.45820770784695,23.316810354384206,21.12395680006184,4.3149248235531585,-22.64578187035508,-12.038025119794828,11.97428617558329,7.550432410482804,1.4439601480157034,9.037958352471154,-0.9030432714058765,-21.93437252842118,6,singing,0,Single Voice Singing
0.0025669928,1474.701898758929,1818.0626523753554,2670.1171875,0.06884765625,-492.4435415000846,40.31523064022802,17.688838882112847,3.6593856840366596,-12.232740557651931,-24.385781572980733,-14.705039611442022,2.785690112937071,7.251217319293705,7.282230297566068,7.840388980158092,-2.966475138418795,-18.092882459209914,6,singing,0,Single Voice Singing
0.0013928164,1562.4498502514332,2079.467609259622,2648.583984375,0.05078125,-509.3476019069936,24.451445789056176,9.371725681301463,-7.744465155693886,-19.18105682775189,-20.35795170780183,-11.851241529114514,1.2829295803937188,12.336698120116386,16.31029560773272,12.067371310904289,2.3650710906094368,-7.964573491481727,6,singing,0,Single Voice Singing
0.00096974964,1658.3170964869569,2180.813233757535,2853.1494140625,0.0341796875,-519.1230236014326,12.84090923341006,3.3165356068702723,-7.549599715157713,-14.781998701567314,-15.197417943967723,-8.844084287102724,1.132502990752049,10.07827353173862,14.054436509692211,11.608378245892805,4.279786548967364,-4.314580994450021,6,singing,0,Single Voice Singing
0.00045198607,1820.7019343674265,2333.124493352506,3531.4453125,0.01708984375,-527.2083105335985,4.000787104717401,1.033393615601926,-2.388564077133964,-4.7167058552184,-4.906982991960588,-2.891225858031845,0.3998833834797937,3.4692923671624767,4.939274122361038,4.174130465602452,1.5565184485132342,-1.703324567733765,6,singing,0,Single Voice Singing
0.0027612324,2376.7187753106728,2409.1200602377135,5092.6025390625,0.0244140625,-489.6082331849266,42.88585440124382,20.791208995135896,7.548920382308873,-2.838062647964122,-9.841701911641065,-16.76295502784856,-15.165193796598867,-8.422453072424624,-7.603763679739451,-7.381360225011742,-7.85897590074749,-10.271434172004277,6,singing,0,Single Voice Singing
0.023011556,2701.975245758026,2128.246463178904,4672.705078125,0.0625,-357.7340352098568,63.80304852375967,-15.977290991479855,35.640114401836186,-26.068264891909873,6.123411377797936,6.773438974277135,-22.01878643685184,-5.177584048266432,-12.531326595773224,-13.623039145023903,-7.590877416341227,-15.263393776041815,6,singing,0,Single Voice Singing
0.037920184,2806.0252447558096,1995.9911862760064,4694.23828125,0.08642578125,-234.7848011224705,50.440892111987296,-41.793681084351306,46.123736233234936,-42.60881660797781,20.59843674002515,15.785877119447521,-4.63362516179173,-15.748303583785209,-19.05851371518989,-24.746558275536742,-7.741791328732356,-20.669975553518505,6,singing,0,Single Voice Singing
0.04353051,2562.4459098558495,1957.547400132559,4511.2060546875,0.10595703125,-202.6685496104059,54.29244129511544,-49.87170665235235,43.541899372692534,-47.42679215484258,23.151459568346766,22.849897052214303,2.0128658763908254,-17.020265003196307,-22.696242452186922,-27.9865108873432,-9.071381873537202,-23.25376768314284,6,singing,0,Single Voice Singing
0.045282092,2165.8563918901577,1895.883698516477,4328.173828125,0.09619140625,-231.08644954007661,76.48229095794863,-46.303282837791144,42.82629428121307,-45.290038764254554,13.059394840482597,23.312582099703175,-5.030805449214268,-13.60862169967669,-21.136005507256947,-22.2684898374033,-7.049685256337892,-16.232022423177995,6,singing,0,Single Voice Singing
0.039717805,1747.7980152689513,1684.68817917447,3854.443359375,0.076171875,-294.4687350744405,97.45833049474834,-36.98678208576669,40.84578566645926,-33.08554046890066,-5.678289862643521,26.64906972482216,-19.030541707920804,-5.650958920627401,-16.162801290437976,-22.194194164683346,-12.558252609388987,-16.543548808122157,6,singing,0,Single Voice Singing
0.026301753,1621.9091956540815,1750.324471920195,3552.978515625,0.06982421875,-340.7205770694032,100.65135733429683,-21.5308100773156,22.231626917672767,-21.964303414153914,-6.93852068635614,21.561064363233037,-18.97851331757638,-8.475026209985645,-7.438901793719937,-18.85150002753314,-10.67727158375714,-14.700463491996363,6,singing,0,Single Voice Singing
0.015670834,1389.8598316994735,1679.1960134064263,3003.8818359375,0.06640625,-381.6184338645217,107.1843680289661,1.8777299905158384,0.9710807073866892,-19.370999411646796,-7.463776150200083,13.035285554960401,-20.271571943946462,-16.582714332774035,0.5131134818696444,-16.315152465592007,-14.133757380377396,-8.820857037941902,6,singing,0,Single Voice Singing
0.009353391,1240.7443433543692,1606.7032353624938,2142.5537109375,0.068359375,-406.0086497101077,106.47035803629345,16.514700408393963,-6.131024527598392,-16.953827558775448,-7.737733231873508,4.247366380042728,-15.27777604513734,-14.398864019772798,3.041540277230065,-5.400124529079582,-15.334854012698996,-17.258499044711947,6,singing,0,Single Voice Singing
0.00636088,1061.946276545642,1448.6380302128096,1593.45703125,0.06982421875,-436.1161458462684,94.02352690944548,27.9630093129322,-3.36598700575737,-13.003266962960936,-15.358114069683293,-9.143042745044275,-8.198600571000274,-7.6749457890585475,3.1830219946316207,1.058468164502358,-19.327530608246136,-27.496670708958398,5,percussion,1,Percussion
0.0042812605,1098.312984197376,1377.8247153547409,1571.923828125,0.07763671875,-458.7899401398872,73.08921994406401,23.608639308628447,-1.7087699009758113,-10.971177036585733,-20.16018848472521,-25.30362222158002,-21.9975029829668,-7.096609246601802,11.259465328905367,8.635567591306332,-14.64814689612069,-27.2910515889752,5,percussion,1,Percussion
0.0027650534,1367.960987343289,1684.3792637380004,1701.123046875,0.0947265625,-477.5821726852129,53.160796701283246,12.68864191958733,-9.201817369652556,-12.454075777823753,-15.031645873844333,-20.987938853713736,-20.07078145569379,-4.047615807372631,15.152648320874256,13.480453991681872,-8.388989536595382,-22.27938907405546,5,percussion,1,Percussion
0.0016135481,1570.0980584473623,1777.9404258001744,2013.3544921875,0.111328125,-500.0917557193262,28.396856787821573,0.30561565943033,-12.640615640690283,-7.95557006768656,-5.9855517379279135,-15.128273642041808,-18.963153903373218,-3.9525177915379217,15.876544004796447,16.06039450468519,-3.9356350953740904,-19.629930989824864,5,percussion,1,Percussion
0.0008374344,1736.0129255194875,1830.7841067318147,2121.0205078125,0.1259765625,-520.216428182682,7.614201468350254,-5.343397974071413,-8.78100257750043,-2.281323498312263,1.4048279016995304,-3.557720971060955,-7.472627158375559,-0.515432723560385,11.08235139668015,12.52621837384119,1.1887662670293027,-9.407111252030353,5,percussion,1,Percussion
0.00052060693,2011.1083967956492,2129.133087242223,3499.1455078125,0.11083984375,-522.7480605055872,6.195697277741061,-2.6333638838327484,-3.847053559229773,2.4456062362130626,5.794673185248061,0.8616821077087075,-5.214529422465269,-3.9067422337346507,1.8347973126055006,1.9772406596616874,-5.421379731905848,-10.675733013554705,6,singing,0,Single Voice Singing
0.0071765482,1884.6660295261831,1757.9504587391796,3854.443359375,0.1005859375,-468.2801050365465,46.639368781054166,12.758825429897916,26.693899552859992,16.518909143237682,4.043557342479422,9.881498527671305,8.052023661531244,2.3464159942949454,-3.1478793064305446,-10.211080822923721,-13.30078425351428,-8.796275998610916,6,singing,0,Single Voice Singing
0.012062576,2231.837591285769,1800.5541229663327,4123.6083984375,0.09423828125,-361.8012115316029,54.49107717390128,-24.85935881707016,66.17194767512547,3.677554132959608,-1.0221229590272112,20.76508803299884,4.846979985522306,16.754468685575496,0.7810240113969893,-16.79013489181621,-10.789655581808006,-13.909915834654775,6,singing,0,Single Voice Singing
0.014502476,2197.55123041776,1760.7100138219917,4026.708984375,0.07568359375,-323.2636522719708,57.721367452695176,-42.09997410508274,75.62341190538768,5.185848177764498,-1.7628041887673098,21.581570540061612,5.853582368613684,19.107000939249076,4.275747549386038,-20.348655884375304,-16.428333888766687,-16.220308028859478,6,singing,0,Single Voice Singing
0.016855689,1980.7726771626399,1681.6903258405334,3585.2783203125,0.06884765625,-329.58919615898276,73.54486049980372,-43.04462840770944,61.41947702212592,12.844203070843268,-3.5877524842975137,23.040109404143287,6.260655214673781,17.283574640891864,5.0475588349890455,-18.927855542554454,-18.516293094947734,-12.805713287805968,6,singing,0,Single Voice Singing
0.015639836,1334.6749048991187,1532.5609387847696,2906.982421875,0.056640625,-373.85042453684844,89.84370932674327,-22.129994197555966,32.67505972788865,23.415864351309693,-4.912163345541754,24.321732922527993,22.077701049085945,13.63513449290306,6.587288728824865,-24.776675474833368,-28.224864870689956,-4.66421423398649,6,singing,0,Single Voice Singing
0.013123956,1022.2120645130606,1636.7540655229438,1937.98828125,0.03759765625,-416.8017246372977,97.05731381344253,18.32193194190735,18.36456069073736,20.05137757034214,5.6483370410085225,16.24258824030941,23.631854099858923,12.77838096225376,0.464132250144279,-17.53655130214942,-23.4622501556349,-4.746539129773325,6,singing,0,Single Voice Singing
0.0119526675,1028.3436710646165,1903.3311267445897,1184.326171875,0.0263671875,-444.52278785337677,99.6336699426837,53.12847653953732,18.20658001534064,6.689005673011688,8.809805853583516,14.65601631724301,16.725474458229804,7.551401016096328,-9.449930165599739,-19.12716730119773,-14.576637949601153,-5.366508262478654,5,percussion,1,Percussion
