index,rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument,note_played
0,0.0014500273,5040.273643251799,3062.7920453254105,8903.9794921875,0.13427734375,-633.3174,-33.315933,-35.58272,-29.531683,-5.616592,20.767227,2.5014682,-12.648107,-21.322365,-0.56557846,12.835154,26.347954,19.314064,74,A#6
1,0.0034849765,4540.406456879956,3323.370648008964,9130.078125,0.17578125,-550.7478,-32.92382,-49.098167,-51.986397,-5.8615565,16.606848,0.7850137,-25.994057,-18.630577,-5.6602964,8.46357,27.445396,24.23425,74,A#6
2,0.011959921,3999.7401537973838,3241.9340699857607,8968.5791015625,0.21826171875,-504.96832,-31.450043,-58.26451,-55.153595,4.4676027,18.78873,-6.7685146,-36.843998,-5.8812876,-3.4108295,0.43407696,22.905151,28.673096,74,A#6
3,0.021046648,3270.21694799668,2598.3923644638385,6244.62890625,0.16259765625,-483.9716,-32.493553,-65.699326,-42.426224,9.89119,23.735636,-12.260772,-36.103596,-4.497237,0.43446797,-7.5337343,13.708658,34.911823,74,A#6
4,0.025352428,2998.304099343709,2117.2649586754424,5609.3994140625,0.1689453125,-491.7871,-34.671112,-66.5366,-31.587736,7.1113024,24.917845,-15.462996,-34.784645,-8.352547,5.1292458,-12.165217,15.340595,40.43229,74,A#6
5,0.027183373,2938.4046128799278,1988.196372578634,4931.103515625,0.169921875,-502.0674,-31.982693,-72.46876,-32.94651,2.2761056,19.016102,-17.856304,-34.119347,-12.473091,10.503803,-16.791138,15.670456,40.620712,74,A#6
6,0.02650303,2980.3045917929276,2042.8885392477316,5555.56640625,0.169921875,-506.1258,-26.209213,-69.57097,-31.66676,2.6085155,19.744373,-18.644909,-36.295986,-15.047674,10.215868,-16.726755,15.556686,38.84556,74,A#6
7,0.022673793,3066.1521127710957,2139.6068913087342,5609.3994140625,0.16943359375,-520.471,-28.486595,-63.981842,-27.70667,10.337423,23.215202,-22.546848,-35.899822,-7.2243757,10.015654,-15.664488,24.508995,40.680595,74,A#6
8,0.021230582,3018.782098885157,2145.960229229257,5598.6328125,0.16943359375,-526.0102,-27.836079,-62.247696,-27.174265,15.159955,24.728447,-20.991085,-38.041573,-3.6121888,9.905161,-11.086649,26.335712,41.53331,74,A#6
9,0.02194138,2891.3896505162575,2068.3090814638376,4952.63671875,0.16943359375,-528.0611,-27.880835,-65.567,-30.844763,12.856318,25.783703,-15.474396,-32.33813,-5.914611,8.290197,-7.36228,28.084377,44.552795,74,A#6
10,0.022981277,2874.7821842977783,2063.0289385461488,5124.90234375,0.169921875,-533.2334,-29.690964,-64.022064,-32.447094,13.477964,26.189127,-16.596811,-32.28503,-7.6163797,9.32813,-9.203384,25.347641,46.243736,74,A#6
11,0.023201069,2910.582228891214,2062.5062027548447,5501.7333984375,0.16943359375,-527.2425,-27.482414,-63.76538,-32.78617,8.451172,23.031317,-19.557816,-34.88402,-5.6131496,11.181864,-11.77953,18.48535,41.272686,74,A#6
12,0.022094876,2895.684553018425,2019.3714290330774,5426.3671875,0.16943359375,-530.73804,-20.542328,-61.767868,-29.098011,10.719439,26.895275,-14.557335,-28.596935,-1.9799291,11.410923,-10.59188,15.869884,38.975685,74,A#6
13,0.021336375,2921.6164983729495,2040.5364634721004,5598.6328125,0.16943359375,-535.2459,-19.035995,-61.111954,-28.343414,14.250875,30.302402,-15.609701,-32.570324,-2.9296486,13.095959,-9.108122,18.864143,42.167747,74,A#6
14,0.021280361,2977.7006983425263,2111.2334144435595,5598.6328125,0.16943359375,-534.10583,-23.220234,-62.19268,-31.04709,13.609768,30.176,-18.141277,-34.90567,-1.3109512,14.251921,-8.086174,16.718283,36.256386,74,A#6
15,0.02193355,2876.6777283661495,2017.6706910031382,5523.2666015625,0.16943359375,-536.95557,-20.463127,-58.837997,-28.027388,12.699083,24.3092,-20.896616,-31.972927,-4.7161355,13.783066,-10.828403,13.297638,41.074303,74,A#6
16,0.02304708,2826.089299992659,1949.4906337010655,4457.373046875,0.16943359375,-540.48535,-24.354412,-59.990547,-23.834013,13.590165,26.24953,-20.130991,-35.19845,-8.521444,13.495625,-10.134327,15.530946,44.003395,74,A#6
17,0.023327757,2869.0810857845318,1996.6165480014788,5124.90234375,0.16943359375,-540.8596,-27.176844,-60.609375,-25.49919,16.785889,29.529125,-14.505001,-31.761732,-5.7811184,16.560226,-7.9402423,20.889557,45.71792,74,A#6
18,0.023140633,2910.112388465467,2042.7604085204855,5598.6328125,0.16943359375,-541.1095,-29.643631,-61.475838,-24.022316,18.662386,26.083601,-17.941587,-30.814625,-6.755504,11.40913,-11.535276,19.817999,46.48131,74,A#6
19,0.022645205,2889.6443532413577,2020.121867712749,5587.8662109375,0.16943359375,-538.6807,-26.985023,-62.863293,-26.120865,16.249668,25.190655,-26.711866,-36.488235,-5.861624,12.56271,-10.202644,18.636978,42.829575,74,A#6
20,0.022129772,2880.265825163085,2003.3976434918638,5544.7998046875,0.16943359375,-544.51294,-27.991833,-60.15494,-23.540468,19.853802,29.3202,-28.343826,-39.03546,-4.9411187,14.204072,-9.851259,17.26764,39.724144,74,A#6
21,0.02240985,2961.4619164629075,2079.6498092401935,5598.6328125,0.16943359375,-541.28046,-27.615528,-57.852753,-21.852638,22.108797,28.7365,-21.932167,-34.360588,-4.6237726,9.390243,-14.475044,15.145051,36.878883,74,A#6
22,0.022784103,3044.609151389155,2153.6600894951293,5609.3994140625,0.16943359375,-535.37115,-29.01249,-54.72062,-22.760418,17.834465,22.420967,-19.54934,-33.340683,-8.466623,8.559641,-14.973633,12.916642,35.13215,74,A#6
23,0.023177017,3041.0369947366808,2158.3137241215813,5609.3994140625,0.16943359375,-535.8062,-35.664413,-59.26219,-26.997595,13.897415,18.895317,-22.521221,-36.897926,-5.8316183,15.749513,-8.573164,13.418452,30.96246,74,A#6
