10_freq,10_peak,note_played
"[488, 490, 486, 975, 973, 977, 493, 980, 1458, 1465]","[1.0, 0.8146917683849118, 0.48261140123837687, 0.32328495215472025, 0.20269729264832145, 0.1635599745135373, 0.09741448798897326, 0.08819689714554173, 0.0636475766646367, 0.06140767740017639]",A#6
"[971, 1946, 1946, 485, 487, 490, 1028, 1462, 493, 384]","[1.0, 0.8833201813042074, 0.8833201813042074, 0.7627735202022659, 0.5058147191342214, 0.26034940872880336, 0.20954743262307662, 0.12239870847523297, 0.10253261378022552, 0.09016994302859628]",A#6
"[487, 973, 489, 1459, 391, 975, 301, 2431, 2431, 414]","[1.0, 0.20300592642506007, 0.1382645689588127, 0.08024849012406791, 0.01086020359886585, 0.010630003004369473, 0.010475862909755164, 0.00916688603806679, 0.00916688603806679, 0.007390434322826573]",A#6
"[487, 1460, 1458, 973, 2434, 2434, 971, 1944, 1944, 2315]","[1.0, 0.08879417851376564, 0.06020039828214708, 0.04645056658770181, 0.012014629350587724, 0.012014629350587724, 0.010992065933960448, 0.008595102526322018, 0.008595102526322018, 0.00847439908934437]",A#6
"[488, 486, 1460, 1458, 2433, 2433, 1947, 1947, 1945, 1945]","[1.0, 0.47983866632167255, 0.45948665369662195, 0.2673722272237759, 0.1122906131043414, 0.1122906131043414, 0.08483282747113247, 0.08483282747113247, 0.05994879662295218, 0.05994879662295218]",A#6
"[486, 1458, 971, 2430, 2430, 974, 481, 1944, 1944, 388]","[1.0, 0.2458688781294689, 0.15122320417997248, 0.035321170519308755, 0.035321170519308755, 0.030010575816421626, 0.020977322951342154, 0.019491050523839384, 0.019491050523839384, 0.01895716585805582]",A#6
"[486, 1458, 971, 974, 2430, 2430, 390, 2428, 2428, 377]","[1.0, 0.19580469597409036, 0.18363488564864772, 0.1339817964624977, 0.057863190808395776, 0.057863190808395776, 0.03729566745804634, 0.025291474364989346, 0.025291474364989346, 0.021274102383586343]",A#6
"[485, 1457, 970, 973, 2428, 2428, 1942, 1942, 390, 399]","[1.0, 0.8106084999382681, 0.25683054875731987, 0.13427556009554664, 0.054673519872957856, 0.054673519872957856, 0.028839810270376295, 0.028839810270376295, 0.013481223005894135, 0.01287038847218479]",A#6
"[971, 2427, 2427, 488, 1455, 485, 1941, 1941, 389, 403]","[1.0, 0.7185599795594019, 0.7185599795594019, 0.4230157926806769, 0.22646249956161915, 0.22141752672419554, 0.08072619824654306, 0.08072619824654306, 0.07397525514596795, 0.07154628110301775]",A#6
"[486, 1455, 2426, 2426, 1940, 1940, 971, 2377, 2377, 399]","[1.0, 0.15413431144344072, 0.03748781851545326, 0.03748781851545326, 0.029128523667541463, 0.029128523667541463, 0.02517017392279001, 0.010999094820956847, 0.010999094820956847, 0.010432966787090268]",A#6
"[485, 1454, 2425, 2425, 969, 1457, 1940, 1940, 402, 380]","[1.0, 0.12399013462058885, 0.08661718444028488, 0.08661718444028488, 0.0651752149513084, 0.016824703741133075, 0.013931417640176528, 0.013931417640176528, 0.009202662557836585, 0.009064957852922871]",A#6
"[969, 484, 2424, 2424, 1451, 2453, 2453, 393, 380, 1940]","[1.0, 0.3049218721476986, 0.16912525647746424, 0.16912525647746424, 0.04014246387174535, 0.028330864231732443, 0.028330864231732443, 0.026655168968620715, 0.02321578557905361, 0.02262208910110284]",A#6
"[970, 1455, 484, 628, 2424, 2424, 390, 1939, 1939, 387]","[1.0, 0.18645470587561602, 0.181270411559386, 0.09942471497654057, 0.02769789235969519, 0.02769789235969519, 0.016577136145145655, 0.013154403688423995, 0.013154403688423995, 0.012943556019348459]",A#6
