10_freq,10_peak,note_played
"[1064, 1072, 714, 1067, 1070, 711, 716, 707, 1773, 1773]","[1.0, 0.44567326870551477, 0.4217938158800681, 0.3971624307945471, 0.34946483150736535, 0.3466931389024663, 0.27288477787955434, 0.2092073350706244, 0.15220130069356638, 0.15220130069356638]",F6
"[1072, 715, 711, 1064, 709, 1074, 1067, 1061, 1776, 1776]","[1.0, 0.6870275832476332, 0.4022649521967992, 0.39258049552887686, 0.3825756396012921, 0.3787292109734724, 0.2109819364872694, 0.16432287116516409, 0.11774602845895862, 0.11774602845895862]",F6
"[1061, 1059, 1072, 712, 1068, 1065, 354, 1771, 1771, 1767]","[1.0, 0.5606723151081426, 0.5483416534948967, 0.4719878788910355, 0.3970965347734395, 0.25209406167985327, 0.2219097308956367, 0.12978653355206018, 0.12978653355206018, 0.1280198220482963]",F6
"[711, 1065, 1068, 1062, 706, 959, 1421, 353, 1072, 1770]","[1.0, 0.8154818993365275, 0.6810418801511344, 0.2845120368563558, 0.2559417250024351, 0.18882392499458187, 0.16899179317679702, 0.1295995031988756, 0.11175492826505314, 0.0979679513123379]",F6
"[1071, 714, 1067, 1064, 710, 1423, 1777, 1777, 1069, 1047]","[1.0, 0.7176522834115096, 0.3628047122928857, 0.2749242810177064, 0.2535491553776087, 0.13594886718720892, 0.10108373503775504, 0.10108373503775504, 0.0962461457210728, 0.09040322041096509]",F6
"[1074, 714, 1070, 1429, 712, 357, 1066, 716, 1084, 1791]","[1.0, 0.5768763951022071, 0.32823028101179064, 0.20107476995285598, 0.15067864196930544, 0.13636709741170913, 0.07941216123908232, 0.07673460409199107, 0.07523763409768726, 0.07317769405234933]",F6
"[1074, 714, 716, 1070, 1066, 1072, 1077, 1433, 1427, 359]","[1.0, 0.5504039664624764, 0.5100159423544613, 0.35476335320464975, 0.1220142683779533, 0.11891965249592087, 0.11869057771484083, 0.1073337027245888, 0.08354840934155192, 0.07886794903938381]",F6
"[714, 717, 1076, 1070, 1074, 1434, 358, 719, 1078, 360]","[1.0, 0.7901089854727653, 0.6280683311824762, 0.5633832777669312, 0.32542495657118486, 0.26586225521737883, 0.20617830242847554, 0.14579426466505674, 0.0933253412948438, 0.08887349629244158]",F6
"[1074, 714, 1070, 717, 1078, 1068, 359, 1434, 711, 721]","[1.0, 0.7312335756295694, 0.6256895907812215, 0.5871367518936224, 0.362947633800998, 0.294746086993666, 0.2343395651625535, 0.19722708268610484, 0.1256871580880891, 0.12445571308577813]",F6
"[1074, 1071, 714, 1078, 719, 2150, 2150, 1430, 716, 356]","[1.0, 0.5175470174692375, 0.3817182967167343, 0.26071414741303744, 0.17535259348565324, 0.11485360953389344, 0.11485360953389344, 0.09397169819525894, 0.053496301410456776, 0.04866947432006151]",F6
"[1076, 1073, 715, 717, 719, 1079, 1069, 1435, 1430, 359]","[1.0, 0.92817573205852, 0.6879209980583914, 0.3720317208954778, 0.3701800277217731, 0.29404223346812014, 0.24029813487917187, 0.2111960485840186, 0.1764072750915895, 0.11049926642841536]",F6
"[1076, 716, 1073, 1432, 714, 1436, 1430, 358, 1068, 1071]","[1.0, 0.8256725221833204, 0.3731801356380863, 0.33254718106180453, 0.141724577648113, 0.141283598110136, 0.11161287562150587, 0.10016010571272298, 0.08704426341769517, 0.062853544789198]",F6
