10_freq,10_peak,note_played
"[33, 65, 98, 133, 31, 110, 1, 22, 68, 166]","[1.0, 0.5116625982867703, 0.15860149426851383, 0.10313563578538744, 0.03847326478522927, 0.03835953571590104, 0.038136867355836726, 0.031706108424084875, 0.03129200548815484, 0.01811977429845256]",B2
"[66, 32, 164, 36, 74, 100, 44, 198, 3, 14]","[1.0, 0.04544111179077287, 0.025666545281165312, 0.021726161969944015, 0.01132828642570778, 0.009548761719847568, 0.009012718497603402, 0.008819123881716254, 0.006052211207089896, 0.005416483200938077]",B2
"[33, 66, 99, 164, 197, 6, 128, 231, 134, 44]","[1.0, 0.44063617348410955, 0.12932386456188227, 0.016128294209448033, 0.01591405036394448, 0.004822908397976796, 0.003564681155841256, 0.003472801765476636, 0.003466390976274021, 0.0033544199156909328]",B2
"[66, 165, 32, 35, 43, 129, 64, 96, 231, 131]","[1.0, 0.06602258381104846, 0.03847286367167728, 0.03579379921839135, 0.02275473993708286, 0.011262211531670454, 0.008517234529681117, 0.007290909109301614, 0.0056952095938342375, 0.004465751375025014]",B2
"[33, 66, 99, 133, 166, 75, 42, 199, 71, 80]","[1.0, 0.5204346808536674, 0.10181995612357829, 0.02238447296773139, 0.018478591693186434, 0.01102748255842834, 0.007503553043654863, 0.0064171004878431125, 0.005159657048826158, 0.005110024465159999]",B2
"[66, 100, 97, 36, 132, 34, 68, 163, 10, 264]","[1.0, 0.09628145314929162, 0.01889639908465509, 0.014559765391787384, 0.014245107101911078, 0.012301786951902375, 0.01012400749904998, 0.006862850290039298, 0.006429756154331243, 0.003986936875762153]",B2
"[33, 66, 99, 132, 264, 3, 63, 77, 38, 164]","[1.0, 0.4860899617019592, 0.16818063545127754, 0.012386074226810885, 0.010010113788922468, 0.006024219134653633, 0.005743249705841553, 0.004566383398554004, 0.004389889139698636, 0.003948574126300718]",B2
"[66, 32, 44, 98, 165, 129, 144, 35, 263, 1]","[1.0, 0.07449894789350428, 0.07302824816596135, 0.03416587396271162, 0.029903353552384018, 0.018453726902176663, 0.005349269216074616, 0.004695247760459795, 0.004233051477006072, 0.0025699720838516017]",B2
"[33, 66, 131, 98, 164, 167, 75, 106, 42, 9]","[1.0, 0.35837854407524167, 0.16847884426064255, 0.04677288771087159, 0.03719607936726569, 0.007468627151320784, 0.006530039139179561, 0.005628355831501639, 0.0052397923969646374, 0.003369186870544137]",B2
"[99, 65, 32, 77, 164, 133, 73, 109, 13, 198]","[1.0, 0.24615069627332267, 0.15457103392691376, 0.08154886962077437, 0.04546967102545718, 0.007274642953396249, 0.00657104388488623, 0.006149213995075202, 0.005014121285260571, 0.004347827309601422]",B2
"[99, 33, 65, 83, 164, 14, 2, 134, 7, 74]","[1.0, 0.9357243457510112, 0.4865041041569712, 0.19983397226803343, 0.06678451603033467, 0.015578838706929702, 0.01085952607457899, 0.008830749935204054, 0.007992216748237283, 0.0076879604129159946]",B2
"[98, 33, 131, 65, 164, 36, 197, 134, 1, 13]","[1.0, 0.686347555390878, 0.4418521629600547, 0.33582564759125977, 0.052164115970991784, 0.04269750664513795, 0.014831859694563517, 0.012396510108192187, 0.010154399868178201, 0.010007077250438853]",B2
"[98, 51, 32, 66, 130, 164, 75, 155, 115, 3]","[1.0, 0.33250930023909, 0.32440647070626516, 0.16880387859795074, 0.0592913503708145, 0.05505822798375546, 0.004438845103613709, 0.0038573693604457902, 0.003716792051818011, 0.00321057651820102]",B2
"[33, 98, 65, 131, 196, 95, 72, 128, 100, 67]","[1.0, 0.32996204453026, 0.028247737943836945, 0.026358953663390982, 0.009499619967371567, 0.009469447169072347, 0.008407699984766499, 0.006581349239877383, 0.006151054564140463, 0.005897292131109005]",B2
"[98, 65, 131, 32, 195, 162, 95, 67, 10, 134]","[1.0, 0.9164401296859808, 0.19586198609293043, 0.16460627546320789, 0.03211377550025196, 0.01884147318693127, 0.014764639626340876, 0.009753715561722422, 0.007927992235559799, 0.006881170425425152]",B2
"[67, 32, 63, 98, 163, 101, 95, 129, 70, 165]","[1.0, 0.43441699325047123, 0.20190067907110246, 0.062049140243353874, 0.052874487995560805, 0.03148661114383919, 0.02331986515130501, 0.017579543819869273, 0.014897207246560382, 0.010776533613826635]",B2
"[33, 66, 131, 101, 97, 164, 10, 95, 99, 13]","[1.0, 0.35525381902223546, 0.09031877752507105, 0.022108708601174035, 0.01937142880797509, 0.014026328416743178, 0.0057734963593720256, 0.0050699407910417054, 0.004671729143993421, 0.004042614095318381]",B2
"[65, 98, 32, 163, 130, 35, 87, 10, 75, 1]","[1.0, 0.25129661464038655, 0.2106462370933062, 0.08438783553743338, 0.07317719306904386, 0.03208477839480106, 0.02740491595356327, 0.015368795065386411, 0.00991577327557686, 0.008408301097777736]",B2
"[98, 32, 58, 66, 130, 150, 68, 10, 74, 194]","[1.0, 0.5650335105809925, 0.3949005019449555, 0.16408176417654766, 0.09508503442388308, 0.0540916019843157, 0.030719928411990716, 0.009668188868258844, 0.009243551731526991, 0.009109098490667409]",B2
"[33, 98, 66, 131, 100, 164, 10, 37, 76, 117]","[1.0, 0.2593342798939857, 0.212264658212532, 0.07458798720082736, 0.05082175097188999, 0.009930740283485616, 0.008973786928188234, 0.007552455742637124, 0.0065266151655985795, 0.005484404628453064]",B2
"[35, 98, 65, 133, 95, 14, 19, 10, 103, 199]","[1.0, 0.32802048170616827, 0.10297858522621159, 0.07363363900727106, 0.017333362759791013, 0.010603991703985141, 0.010374919290859692, 0.010351202300417972, 0.009590510186875524, 0.008573480123175145]",B2
"[18, 18, 33, 33, 49, 49, 112, 112, 6, 2948]","[1.0, 1.0, 0.2626583824640056, 0.2626583824640056, 0.23854841766660276, 0.23854841766660276, 0.11329564103671297, 0.11329564103671297, 0.07602618802831412, 0.07480014176114239]",B2
"[33, 66, 99, 131, 167, 156, 76, 200, 109, 43]","[1.0, 0.9283460504702563, 0.6984130174744513, 0.507033948868359, 0.2577612341179042, 0.10614816603697774, 0.06214630339251066, 0.05490318214311211, 0.051203659760454094, 0.0442194225500533]",B2
"[66, 133, 131, 99, 165, 231, 197, 103, 36, 77]","[1.0, 0.21661590983376594, 0.13820910194200497, 0.0879352323783219, 0.052634045044837624, 0.042174622825884, 0.029148727137097673, 0.01680688727807626, 0.015112309889943146, 0.01471510520868419]",B2
"[33, 66, 99, 132, 167, 200, 140, 76, 124, 157]","[1.0, 0.6906365646806595, 0.44809176785835253, 0.1016006943594057, 0.035378260261525844, 0.017486300921107655, 0.011160758092328506, 0.009753218511288226, 0.007703182887122009, 0.007015154997387881]",B2
