rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument_type_predicted,instrument_type_name,instrument_identification,instrument_identification_name
0.0,0.0,0.0,0.0,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,3,Bassoon
0.0,0.0,0.0,0.0,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,3,Bassoon
0.0,5644.923109408471,3152.315494624233,9506.9091796875,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,3,Bassoon
0.0,5524.691698645487,3092.883926759012,9399.2431640625,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,3,Bassoon
0.0,5251.711270185169,3179.548634440682,9270.0439453125,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
5.1190116e-22,5565.23841695795,3202.8350592863594,9323.876953125,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,3,Bassoon
3.6959246e-21,5513.7379887389525,3326.811286431378,9603.80859375,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
6.364725e-06,8088.635062095968,2441.307719930635,10335.9375,0.18798828125,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,percussion,2,Drum and bass
0.00033056457,5485.315382904069,2577.480286505031,8936.279296875,0.32568359375,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
0.019499931,6703.480635385627,2218.577176936872,9366.943359375,0.47802734375,-511.0951140175723,-53.129802639862575,25.568167391061998,4.964493700678128,-1.2240328581026576,15.27177039437289,-9.088652870345278,13.5732537921762,-3.062317462781039,6.817148402442854,3.957276379774684,-5.319636102349872,10.77336052079381,0,woodwind,0,Clarinet in Bb
0.019662078,6903.759246691339,1999.690427709919,9356.1767578125,0.6416015625,-373.5682897720471,-147.25495805417265,18.82798581737272,29.995532881783724,24.997449610084843,22.519763414307647,-20.458155941654617,19.443509488396984,9.721292415153783,16.567867045520906,3.8670803736686525,-1.5527690089843011,10.791976257378426,1,brass,3,Trumpet in C
0.019671462,6926.736698704518,2006.6399294251225,9377.7099609375,0.63037109375,-355.63601544668785,-159.99037412842927,15.830213084007934,32.38099750352151,28.956666278782965,21.41730386707659,-22.085020262703033,19.08670062936779,9.996699106488588,16.73841033815917,4.148996736317511,-2.7047450699700946,8.824548675267222,1,brass,3,Trumpet in C
0.019669663,6935.005167755502,2101.23684959073,9410.009765625,0.68408203125,-417.40235729945636,-114.42220540970918,25.348380943813282,19.66591185609061,21.99121133633915,20.545161708951596,-14.826463875714925,20.442738515562528,5.228845242322194,14.487363065963262,7.017481546963484,-1.04270574651594,8.089498014204974,1,brass,3,Trumpet in C
0.002600258,7652.758301316292,2260.104907550334,9646.875,0.7265625,-545.9219074757823,-23.880994390984966,28.134419843575095,-12.251835194717522,13.312431865553847,1.7855905996212087,1.0224130275198422,8.952800270820989,-2.805884172555711,7.693436429850439,-0.5449147402668957,3.130395066073139,1.8022508080001853,4,keyboard,1,Accordion
0.0006414866,8330.695353495368,1614.4312723748365,9948.33984375,0.7333984375,-566.6049908356947,-5.402394240172435,4.802857004650344,-3.9107192645111124,2.8647908633602492,-1.8203504273781048,0.9198386536164616,-0.2667938168385349,-0.09176927421551916,0.17113477651748318,-0.041901616891505136,-0.1880246828553541,0.3984738454242377,0,woodwind,0,Clarinet in Bb
0.00020571129,8510.470907050509,1736.1253001014536,10023.7060546875,0.55712890625,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,0,Clarinet in Bb
6.191596e-05,8084.918891640494,1737.1333919732217,9819.140625,0.36572265625,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,0,Clarinet in Bb
9.533149e-06,7691.481107509576,1661.6603291807887,9140.8447265625,0.17041015625,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,0,Clarinet in Bb
3.8121003e-20,5371.794923098532,3233.990975828351,9366.943359375,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
1.6747695e-20,5362.3727108803805,3329.5120707332676,9463.8427734375,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
1.2668604e-20,5181.002277950527,3312.1416960828565,9313.1103515625,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
1.1829119e-20,5347.742712688544,3237.8090090219025,9280.810546875,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
1.0680679e-20,5459.737848697341,3247.1201704480545,9485.3759765625,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
1.0265702e-20,5197.035665202597,3282.004054109182,9248.5107421875,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
2.2219231e-20,5256.583720667422,3271.9207223930357,9302.34375,0.0,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,noise,7,Noise
3.7707865e-05,6885.57380199877,2133.1571466096457,9463.8427734375,0.1552734375,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,0,Clarinet in Bb
0.0015394137,6471.025353927071,2497.8923555859906,9420.7763671875,0.29443359375,-570.0768145241208,-0.6346979531275234,0.44465526185262305,-0.1793518090641948,-0.10044997678043716,0.336406820025115,-0.48765720672803675,0.5388029389228677,-0.4990523681481077,0.394168360114214,-0.2552892576969173,0.10923340130649743,0.026490615907482834,1,brass,2,Trombone
0.009466587,6951.060258123968,2264.6888835417058,9582.275390625,0.458984375,-471.66405672407717,-93.38541441572056,13.3288251890182,13.834527626956286,4.520577720174787,-7.383499562007971,-12.947965947775351,18.830150458898757,-4.459606534401473,-4.0949749027046085,2.2434775815912995,-4.698526395997911,8.696028198009078,2,bowed_string_instruments,2,Violin
0.009487825,7084.874328603467,2148.5499079812826,9571.5087890625,0.626953125,-407.76463118761797,-150.97405954567034,15.269788715551009,28.49472803092599,6.711165933729472,-15.762758199724397,-15.764328230794225,25.4059256498752,-3.9797365965153126,-5.950819301682657,-0.6155009316490825,-2.6683994041514607,11.036905670456235,1,brass,3,Trumpet in C
0.009488734,7107.3692705734575,2121.00321827869,9571.5087890625,0.6806640625,-415.37779747677456,-146.73707353582387,19.689446741386483,26.07186906965071,3.6153217371685495,-14.464591778945353,-13.284348653759022,25.205229489104276,-6.690327252857106,-5.870604317486433,1.649756811531696,-2.010014950077862,8.236326109356195,1,brass,3,Trumpet in C
0.009363232,7151.066352601532,2169.289610407478,9625.341796875,0.7412109375,-502.21405847871637,-71.85176890769523,24.329931915607602,1.5399600529612636,0.6382041626081046,-3.147719857097546,-8.160916419162511,17.639223375375593,-10.990585040076505,-2.4438528465307887,7.063917621055536,-3.0200211429491928,-0.09151491416681301,1,brass,3,Trumpet in C
0.00065090455,7651.2916765412165,2684.661748606539,10099.072265625,0.796875,-568.9023293909746,-2.339598633494917,2.2654965336596025,-2.1457717891982973,1.9858555859367284,-1.7928933190839864,1.5753217546277816,-1.3423733793988513,1.103539559679023,-0.8680266482093753,0.6442394714557134,-0.4393246771714927,0.2588023583634297,4,keyboard,1,Accordion
0.0001453241,8940.822483802187,1354.792393797047,10120.60546875,0.62841796875,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,0,Clarinet in Bb
4.9496313e-05,8808.849143272128,1421.1407954175181,10099.072265625,0.41943359375,-570.5744135571398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,woodwind,0,Clarinet in Bb
