index,rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument,note_played
9692,0.1255622,888.8799352040351,1452.3411614140741,1658.056640625,0.0283203125,-187.04854,167.90623,4.7201138,48.29789,2.4674468,4.3797774,8.987547,10.280668,-19.503365,13.4566,0.3661452,0.002609793,1.9024843,2,Crying_in_the_Rain_2004_Remaster
9693,0.1341757,904.3348632910922,1506.066522481441,1604.2236328125,0.02392578125,-182.80908,167.22577,7.8405423,41.655533,3.074275,4.155144,5.35367,8.763515,-15.380447,14.034702,-1.4009771,0.7183179,3.5166247,2,Crying_in_the_Rain_2004_Remaster
9694,0.14621504,1054.4934180928224,1910.4916180907137,1916.455078125,0.02294921875,-159.09056,147.49321,23.4492,31.33205,17.652782,3.7608252,9.021848,1.8892155,-8.602148,10.138596,0.5189038,4.449426,3.0082445,2,Crying_in_the_Rain_2004_Remaster
9695,0.15135652,1066.8132853060902,1946.5279916970387,2067.1875,0.0205078125,-152.7923,142.82391,24.478352,31.576756,18.228237,7.9289646,11.6434555,8.998105,-5.8771954,11.022825,5.5289,5.121739,-1.0337807,2,Crying_in_the_Rain_2004_Remaster
9696,0.16061518,836.7147381125055,1558.940233447122,1453.4912109375,0.01806640625,-177.45815,160.31216,14.655398,37.54303,11.752924,10.373287,11.505823,18.366581,-8.868254,16.776264,8.101135,2.4405417,-1.3387196,2,Crying_in_the_Rain_2004_Remaster
9697,0.15620595,807.0612641189045,1420.452527741017,1453.4912109375,0.017578125,-191.73729,169.7229,7.7873774,43.09806,4.8154454,9.420116,11.4334755,17.87463,-13.576757,19.510876,3.144325,0.13389182,6.5524607,2,Crying_in_the_Rain_2004_Remaster
9698,0.1422452,747.7809652628798,1343.4812987798973,1238.1591796875,0.0166015625,-200.79678,173.69168,10.714816,40.546097,4.283078,10.747915,6.1941886,13.326061,-13.151737,22.198189,3.4660735,2.7558088,7.8368855,2,Crying_in_the_Rain_2004_Remaster
9699,0.14106865,719.3257803645774,1326.1830542430484,1205.859375,0.01611328125,-209.09308,171.57687,13.022073,43.599052,3.9246883,13.597197,3.1931882,9.752518,-10.522556,18.205654,4.7737613,4.947135,8.648309,2,Crying_in_the_Rain_2004_Remaster
9700,0.13896209,768.5202019270442,1435.651561038421,1313.525390625,0.0185546875,-208.92691,163.20462,13.740782,48.188927,4.170593,10.57987,5.4616737,14.642612,-7.1999207,7.5512004,3.629592,8.398491,5.1595945,2,Crying_in_the_Rain_2004_Remaster
9701,0.14174664,919.046739465957,1645.4701354672368,1690.3564453125,0.0185546875,-183.15884,156.68716,14.666792,38.798508,11.869118,6.2776766,-2.325451,6.0948505,-1.3871853,6.6824975,9.369928,13.989443,3.7396111,2,Crying_in_the_Rain_2004_Remaster
9702,0.14272037,952.2381442009071,1637.3726536198055,1744.189453125,0.021484375,-167.27371,156.86456,10.704973,36.416153,10.878219,7.7986636,-1.7539495,6.2107563,-2.116873,8.2235775,10.017725,11.801337,5.7491384,2,Crying_in_the_Rain_2004_Remaster
9703,0.1407103,813.8488339490953,1494.8886009818048,1345.8251953125,0.0224609375,-189.11148,162.97617,11.835291,36.602432,9.695387,12.419439,8.246096,11.581175,-5.2297993,4.881692,7.66195,8.798613,6.0672183,2,Crying_in_the_Rain_2004_Remaster
9704,0.13537535,695.5592314948501,1329.5486693618866,1087.4267578125,0.0224609375,-210.4501,171.34375,16.842781,44.290478,8.73391,18.242344,10.198267,7.013283,-8.318346,8.414236,8.897629,3.17549,-2.3294225,2,Crying_in_the_Rain_2004_Remaster
9705,0.12341064,678.1360667337415,1291.797936604566,1055.126953125,0.0234375,-216.7186,172.52182,17.519768,45.1052,8.609224,19.406263,9.2975645,10.996206,-7.814255,7.326806,2.5703077,3.4845476,-2.6515365,2,Crying_in_the_Rain_2004_Remaster
9706,0.11851535,702.2734084773415,1277.4725145772338,1119.7265625,0.02294921875,-214.3891,175.80017,14.655724,44.451065,6.899934,15.655134,8.594319,10.3050785,-9.154465,8.456687,-2.1484716,6.77688,0.9751804,2,Crying_in_the_Rain_2004_Remaster
9707,0.11191851,749.9570557940845,1387.4719209515345,1227.392578125,0.02734375,-210.30562,170.67116,14.148422,43.317352,12.828963,16.24538,2.7633307,6.8076415,-9.853773,10.873301,-2.2390919,8.963156,4.376097,2,Crying_in_the_Rain_2004_Remaster
9708,0.10233336,1099.772065589931,1931.193948119251,2121.0205078125,0.033203125,-179.50426,142.80359,16.8665,31.646309,24.02399,15.383529,4.783586,2.517505,0.4352994,8.540689,-2.7100816,5.8506484,2.87958,2,Crying_in_the_Rain_2004_Remaster
9709,0.09719749,1363.9793572886101,2219.2457136175785,2713.18359375,0.03466796875,-160.25029,130.2272,14.947948,26.704536,25.732025,13.507866,8.071348,2.4941325,3.9784288,5.4802117,-4.2013264,3.7937875,-1.7210572,2,Crying_in_the_Rain_2004_Remaster
9710,0.09252668,1118.2373850306803,1928.6206574245298,2228.6865234375,0.03515625,-182.70934,141.86221,13.356903,34.709015,24.16505,10.309091,11.076637,2.3537397,0.6272676,4.126631,-5.282709,4.265197,-1.3463643,2,Crying_in_the_Rain_2004_Remaster
9711,0.086675115,821.7048077163558,1426.7479107433953,1485.791015625,0.0302734375,-210.39085,167.56221,8.587112,43.91823,11.819361,10.013893,4.310868,7.6198707,-7.6489763,11.934511,-1.3672156,4.711414,4.065652,2,Crying_in_the_Rain_2004_Remaster
9712,0.086648285,812.5312562660806,1391.5528870745911,1356.591796875,0.02587890625,-219.1264,168.73318,10.542679,42.720695,4.219692,12.457365,7.844125,6.6333475,-11.745703,9.928234,1.0155419,8.537543,7.381076,2,Crying_in_the_Rain_2004_Remaster
9713,0.08887204,802.9250616342533,1379.5200193743347,1345.8251953125,0.02490234375,-218.54749,168.09843,10.794226,41.99679,1.5470884,13.934635,8.598528,9.258587,-11.494527,10.019594,3.6010404,7.515756,6.203284,2,Crying_in_the_Rain_2004_Remaster
9714,0.10828799,1425.029128229339,2273.345825445055,2960.8154296875,0.03662109375,-161.44604,135.78162,18.081255,24.59098,14.827566,-0.07337034,13.544825,7.580492,-6.090719,2.0359364,3.1475525,9.301929,7.4694514,2,Crying_in_the_Rain_2004_Remaster
9715,0.11565886,2163.367190106531,2700.1599086559186,4963.4033203125,0.05224609375,-59.775005,108.46301,9.296885,20.157288,11.705889,-4.664383,4.013045,4.2812634,-6.0905676,-4.4920025,2.4418404,11.119097,7.728285,2,Crying_in_the_Rain_2004_Remaster
9716,0.1249451,2299.9088414509324,2674.77618723186,5275.634765625,0.06298828125,-40.901928,100.139824,6.427407,23.965149,8.52215,-0.6602556,-3.5046206,4.9314346,-4.615859,-2.6918461,5.119647,11.553513,3.8677151,2,Crying_in_the_Rain_2004_Remaster
9717,0.12517448,2140.668482501457,2644.845361645453,5200.2685546875,0.08203125,-72.88534,101.87355,15.576141,28.246878,4.7651463,3.175315,-3.468422,9.313923,0.90191656,5.800068,3.560173,9.567398,-2.3835597,2,Crying_in_the_Rain_2004_Remaster
9718,0.1128591,1937.075583622298,2566.7904055374183,4672.705078125,0.078125,-89.53064,109.839485,16.95896,26.113106,7.977449,3.6526423,0.5337191,12.052968,0.15917182,7.569523,2.1356928,7.3430004,-7.644706,2,Crying_in_the_Rain_2004_Remaster
9719,0.109166734,1915.9124012590923,2546.5132063175547,4532.7392578125,0.06787109375,-101.48496,111.027084,16.400585,27.888039,8.987718,3.9908462,1.746216,9.516993,-6.259823,4.532901,0.22004241,8.965955,-1.8626878,2,Crying_in_the_Rain_2004_Remaster
